id,weapon,shorthand
0,Sploosh-O-Matic,Sploosh
10,Splattershot Jr.,Jr
20,Splash-O-Matic,Splash
30,Aerospray MG,Aero
40,Splattershot,Shot
50,.52 Gal,52
60,N-ZAP85,Zap
70,Splattershot Pro,Pro
80,.96 Gal,96
90,Jet Squelcher,Jet
100,Splattershot Nova,Nova
200,Luna Blaster,Luna
210,Blaster,Blaster
220,Range Blaster,Range
230,Clash Blaster,Clash
240,Rapid Blaster,Rapid
250,Rapid Blaster Pro,Rapid Pro
300,L-3 Nozzlenose,L-3
310,H-3 Nozzlenose,H-3
400,Squeezer,Squeezer
1000,Carbon Roller,Carbon
1010,Splat Roller,Roller
1020,Dynamo Roller,Dynamo
1030,Flingza Roller,Flingza
1040,Big Swig Roller,Big Swig
1100,Inkbrush,Inkbrush
1110,Octobrush,Octobrush
2000,Classic Squiffer,Squiffer
2010,Splat Charger,Charger
2030,E-liter 4K,E-liter
2050,Bamboozler 14 Mk I,Bamboo
2060,Goo Tuber,Goo
2070,Snipewriter 5H,Pencil
3000,Slosher,Slosher
3010,Tri-slosher,Tri
3020,Sloshing Machine,Machine
3030,Bloblobber,Blob
3040,Explosher,Explo
4000,Mini Splatling,Mini
4010,Heavy Splatling,Heavy
4020,Hydra Splatling,Hydra
4030,Ballpoint Splatling,Ballpoint
4040,Nautilus 47,Naut
5000,Dapple Dualies,Dapple
5010,Splat Dualies,Dualies
5020,Glooga Dualies,Glooga
5030,Dualie Squelchers,Dualie Squelchers
5040,Dark Tetra Dualies,Tetra
6000,Splat Brella,Brella
6010,Tenta Brella,Tent
6020,Undercover Brella,Undercover
7010,Tri-Stringer,Tri-Stringer
7020,REEF-LUX 450,REEF-LUX
8000,Splatana Stamper,Stamper
8010,Splatana Wiper,Wiper
9000,Grizzco Stringer,GStringer
9010,Grizzco Blaster,GBlaster
9020,Grizzco Brella,GBrella
9030,Grizzco Splatana,GSplatana
9040,Grizzco Slosher,GSlosher
9050,Grizzco Charger,GCharger
10000,Random,Random
